tconst,title,year,ordering,Actor,Character Played
tt3679000,Any Body Can Dance 2,2015,4,Lauren Gottlieb,"[""Olive""]
"
tt3679000,Any Body Can Dance 2,2015,2,Varun Dhawan,"[""Suresh""]
"
tt3679000,Any Body Can Dance 2,2015,3,Shraddha Kapoor,"[""Vinnie""]
"
tt3679060,Kapow,2016,4,Akshaye Khanna,"[""Wagah""]
"
tt3679060,Kapow,2016,1,John Abraham,"[""Kabir Shergill""]
"
tt3679060,Kapow,2016,3,Jacqueline Fernandez,"[""Ishika""]
"
tt3679060,Kapow,2016,2,Varun Dhawan,"[""Junaid Ansari""]
"
tt3696192,Singh Is Bliing,2015,1,Akshay Kumar,"[""Raftaar Singh""]
"
tt3696192,Singh Is Bliing,2015,3,Lara Dutta,"[""Emily""]
"
tt3696192,Singh Is Bliing,2015,4,Kay Kay Menon,"[""Mark""]
"
tt3696192,Singh Is Bliing,2015,2,Amy Jackson,"[""Sara Rana""]
"
tt3735246,Bajirao Mastani,2015,4,Tanvi Azmi,"[""Radha Maa""]
"
tt3735246,Bajirao Mastani,2015,3,Priyanka Chopra,"[""Kashibai""]
"
tt3735246,Bajirao Mastani,2015,2,Deepika Padukone,"[""Mastani""]
"
tt3735246,Bajirao Mastani,2015,1,Ranveer Singh,"[""Peshwa Bajirao Ballal""]
"
tt3767372,Piku,2015,2,Amitabh Bachchan,"[""Bhaskor Banerjee""]
"
tt3767372,Piku,2015,4,Moushumi Chatterjee,"[""Chhobi Maashi""]
"
tt3767372,Piku,2015,3,Irrfan Khan,"[""Rana""]
"
tt3767372,Piku,2015,1,Deepika Padukone,"[""Piku Banerjee""]
"
tt3771536,Shivaay,2016,1,Ajay Devgn,"[""Shivaay""]
"
tt3771536,Shivaay,2016,2,Abigail Eames,"[""Gaura""]
"
tt3771536,Shivaay,2016,3,Erika Kaar,"[""Olga""]
"
tt3771536,Shivaay,2016,4,Sayyeshaa Saigal,"[""Anushka""]
"
tt3802576,Brothers,2015,3,Jackie Shroff,"[""Garson Fernandes""]
"
tt3802576,Brothers,2015,1,Akshay Kumar,"[""David Fernandes""]
"
tt3802576,Brothers,2015,4,Jacqueline Fernandez,"[""Jenny""]
"
tt3802576,Brothers,2015,2,Sidharth Malhotra,"[""Monty Fernandes""]
"
tt3848892,Baby,2015,2,Danny Denzongpa,"[""Feroze Khan""]
"
tt3848892,Baby,2015,1,Akshay Kumar,"[""Ajay""]
"
tt3848892,Baby,2015,3,Rana Daggubati,"[""Jai Singh Rathore""]
"
tt3848892,Baby,2015,4,Taapsee Pannu,"[""Priya""]
"
tt3859980,Mohenjo Daro,2016,3,Kabir Bedi,"[""Maham""]
"
tt3859980,Mohenjo Daro,2016,1,Hrithik Roshan,"[""Sarman""]
"
tt3859980,Mohenjo Daro,2016,4,Arunoday Singh,"[""Moonja""]
"
tt3859980,Mohenjo Daro,2016,2,Pooja Hegde,"[""Chaani""]
"
tt3863552,Bajrangi Bhaijaan,2015,4,Kareena Kapoor,"[""Rasika""]
"
tt3863552,Bajrangi Bhaijaan,2015,1,Salman Khan,"[""Pawan Kumar Chaturvedi"""
tt3863552,Bajrangi Bhaijaan,2015,3,Nawazuddin Siddiqui,"[""Chand Nawab""]
"
tt3863552,Bajrangi Bhaijaan,2015,2,Harshaali Malhotra,"[""Shahida"""
tt4007558,Shaandaar,2015,3,Pankaj Kapur,"[""Bipin Arora""]
"
tt4007558,Shaandaar,2015,4,Sanjay Kapoor,"[""Harry Fundwani""]
"
tt4007558,Shaandaar,2015,2,Alia Bhatt,"[""Alia Arora""]
"
tt4007558,Shaandaar,2015,1,Shahid Kapoor,"[""Jagjinder Joginder""]
"
tt4110568,Dil Dhadakne Do,2015,2,Shefali Shah,"[""Neelam Mehra""]
"
tt4110568,Dil Dhadakne Do,2015,1,Anil Kapoor,"[""Kamal Mehra""]
"
tt4110568,Dil Dhadakne Do,2015,3,Priyanka Chopra,"[""Ayesha Mehra""]
"
tt4110568,Dil Dhadakne Do,2015,4,Ranveer Singh,"[""Kabir Mehra""]
"
tt4129428,Detective Jagga,2017,2,Katrina Kaif,"[""Shruti Sengupta""]
"
tt4129428,Detective Jagga,2017,3,Saswata Chatterjee,"[""Tutti Futti or Biplab Bagchi""]
"
tt4129428,Detective Jagga,2017,1,Ranbir Kapoor,"[""Jagga""]
"
tt4129428,Detective Jagga,2017,4,Chitrak Bandyopadhyay,"[""Debu""]
"
tt4169250,M.S. Dhoni: The Untold Story,2016,3,Anupam Kher,"[""Pan Singh Dhoni""]
"
tt4169250,M.S. Dhoni: The Untold Story,2016,1,Sushant Singh Rajput,"[""M. S. Dhoni""]
"
tt4169250,M.S. Dhoni: The Untold Story,2016,2,Kiara Advani,"[""Sakshi Singh Dhoni nee Rawat""]
"
tt4169250,M.S. Dhoni: The Untold Story,2016,4,Disha Patani,"[""Priyanka Jha""]
"
tt4302956,Kis Kisko Pyaar Karoon,2015,3,Manjari Fadnnis,"[""Juhi""]
"
